PlaceName,Category
North Carolina botanical garden,Garden
Ackland art museum,Museum
Morehead Planetarium,Museum
UNC at chapel hill,Site
Morehead-Patterson Bell Tower,Site
Coker arboretum,Garden
Chapel hill public library,Site
Chapel of the cross,Site
Forest Theatre,Site
Battle Park,Garden
Hippol Castle,Garden
Old Well,Site
McCorkle Place,Garden
He's Not Here ,Restaurant
Epilogue Books Chocolate Brews,Bookstore
FRANK Gallery,Site
Flyleaf books,Bookstore
Top of the Hill Restaurant & Brewery,Restaurant
Merritt's Store & Grill,Restaurant
Kipos Greek Taverna,Restaurant
"Mediterranean Deli, Bakery, and Catering",Restaurant
Al's burger shack restaurant,Restaurant
Lantern restaurant,Restaurant
Stoney River Steakhouse and Grill,Restaurant
Carolina Basketball Museum,Museum
Horace Williams House,Museum
Sutton's Drug Store,Restaurant
Cold Stone Creamery,Restaurant
The Blue Horn Lounge,Restaurant
La Residence,Restaurant
CholaNad Restaurant & Bar,Restaurant
Talullas,Restaurant
Bonchon,Restaurant
Tarantini Italian Restaurant,Restaurant
