properties.Google Maps URL,Latitude,Longitude,properties.Location.Address,properties.Location.Business Name,Category
"http://maps.google.com/?q=1121+S+Front+St,+Wilmington,+NC+28401&ftid=0x89aa1e34c0342083:0x51dd228046008929",34.2203088,-77.9468116,"1121 S Front St, Wilmington, NC 28401",,Site
"http://maps.google.com/?q=128+Northern+Blvd,+Wilmington,+NC+28401&ftid=0x89aa1e3fa987eecb:0x8878917f9456ec8f",34.202753,-77.9485506,"128 Northern Blvd, Wilmington, NC 28401",,Site
"http://maps.google.com/?q=604+S+Front+St,+Wilmington,+NC+28401&ftid=0x89aa1fcbd56304df:0x1d4db209924b9c06",34.2274866,-77.9481014,"604 S Front St, Wilmington, NC 28401",,Site
"http://maps.google.com/?q=109+Keaton+Ave,+Wilmington,+NC+28403&ftid=0x89a9f568a27e6d8b:0x9437ed267f87ffe0",34.2366353,-77.9162323,"109 Keaton Ave, Wilmington, NC 28403",,Site
http://maps.google.com/?cid=10276055318992992665,34.2070819,-77.9499543,"1895 Burnett Blvd, Wilmington, NC 28401, United States",Winnie's Tavern,Site
http://maps.google.com/?cid=7016224012965779638,34.2336201,-77.948628,"116 S Front St, Wilmington, NC 28401, United States",Barbary Coast,Site
http://maps.google.com/?cid=16509114342392970327,34.2355199,-77.9435807,"420 Market St, Wilmington, NC 28401, United States",Carolina Apartments,Site
http://maps.google.com/?cid=6144244162411979257,34.237174,-77.9322152,"1307 Market St, Wilmington, NC 28401, United States",New Hanover High School,Site
"http://maps.google.com/?q=402+Chestnut+St,+Wilmington,+NC+28401&ftid=0x89aa1fc405d0bf45:0xb689bf3051407e0a",34.2377658,-77.9447576,"402 Chestnut St, Wilmington, NC 28401",,Site
http://maps.google.com/?cid=10601515078255418189,34.2352707,-77.9493396,"16 Market St, Wilmington, NC 28401, United States",Springbrook Farms Carriage,Site
http://maps.google.com/?cid=10979983687013412851,34.2360768,-77.9486659,"24 N Front St, Wilmington, NC 28401, United States",Fun Bowl,Site
http://maps.google.com/?cid=13547329987365448878,34.2351119,-77.9491796,"16 Market St, Wilmington, NC 28401, United States",Kilwins,Site
http://maps.google.com/?cid=7571365365376266349,34.2357741,-77.943339,"498 Market St, Wilmington, NC 28401, United States",Kenan Memorial Fountain,Site
http://maps.google.com/?cid=17572383416701322844,34.2422264,-77.9450902,"516 N 4th St, Wilmington, NC 28401, United States",Brooklyn Arts Center,Site
http://maps.google.com/?cid=4664138466316249471,34.1775833,-77.9074609,"4099 S 17th St, Wilmington, NC 28412, United States",Halyburton Park,Site
http://maps.google.com/?cid=2641015111899768529,34.2102013,-77.9398012,"1941 Amphitheatre Dr, Wilmington, NC 28401, United States",Greenfield Lake Amphitheater,Site
http://maps.google.com/?cid=12182020918669161073,34.2146613,-77.9442322,"1739 Burnett Blvd, Wilmington, NC 28401, United States",Greenfield Park,Site
http://maps.google.com/?cid=16142968164822461363,34.1563442,-77.8576312,"613 Trails End Rd, Wilmington, NC 28409, United States",Masonboro Island Reserve,Site
http://maps.google.com/?cid=4030639392537021236,34.1231687,-77.8515264,"Masonboro Island State Natural Area, Wilmington, NC 28409, United States",Masonboro Island Reserve,Site
http://maps.google.com/?cid=13068335757891833506,34.2322386,-77.9431831,"412 Ann St, Wilmington, NC 28401, United States",Basilica of Saint Mary,Site
http://maps.google.com/?cid=9329321036792962734,34.2394646,-77.9493728,"321 N Front St, Wilmington, NC 28401, United States",The Cotton Exchange,Site
http://maps.google.com/?cid=7302633907011618435,34.2381179,-77.9485666,"226 N Front St Suite 130, Wilmington, NC 28401, United States",Wilmington Downtown Incorporated,Site
http://maps.google.com/?cid=2595995531787354740,34.237249,-77.945638,"310 Chestnut St, Wilmington, NC 28401, United States",Historic Thalian Hall,Site
http://maps.google.com/?cid=9113159347632637657,34.2352196,-77.9499727,"Wilmington Downtown Riverwalk, Wilmington, NC 28401, United States",Wilmington Riverwalk,Site
